booking_id,check_in,total_price,special_requests,user_id,listing_id
9041,2025-03-04,66.35,Extra towels,1146,7308735
9042,2025-04-21,256.26,Extra towels,1121,940115
9043,2025-07-22,376.15,Late arrival,1020,33023192
9044,2025-09-13,209.05,High floor,1083,16730833
9045,2025-07-30,156.74,Late arrival,1116,16346945
9046,2025-08-31,466.96,Late arrival,1053,17828289
9047,2025-09-27,102.92,Late arrival,1125,21248835
9048,2025-05-21,428.2,High floor,1040,24097816
9049,2025-09-16,460.09,None,1118,13686122
9050,2025-07-06,379.39,High floor,1029,20605308
9051,2025-07-18,274.35,Extra towels,1031,35226897
9052,2025-06-16,296.45,High floor,1084,18120592
9053,2025-07-20,144.17,None,1109,5419405
9054,2025-08-06,113.84,Extra towels,1115,10011086
9055,2025-03-08,223.95,High floor,1055,21496794
9056,2025-01-10,199.19,None,1147,19362079
9057,2025-03-19,165.12,Extra towels,1045,16487077
9058,2025-06-13,280.66,High floor,1090,310220
9059,2025-01-24,226.78,High floor,1148,27203779
9060,2025-01-01,182.15,High floor,1102,29158675
9061,2025-03-10,111.46,None,1022,27508803
9062,2025-04-10,253.62,High floor,1138,17683903
9063,2025-09-17,134.05,Extra towels,1133,36169764
9064,2025-04-10,369.33,Extra towels,1040,28101762
9065,2025-04-30,84.7,High floor,1065,4802374
9066,2025-03-26,115.25,Late arrival,1052,18054268
9067,2025-05-04,290.5,None,1081,24039926
9068,2025-03-16,381.79,None,1025,189135
9069,2025-07-30,151.68,Extra towels,1142,15340613
9070,2025-07-16,430.79,Late arrival,1084,15129261
9071,2025-05-28,116.42,Extra towels,1115,30720122
9072,2025-03-12,463.78,Late arrival,1023,10277010
9073,2025-01-31,106.58,None,1139,8341669
9074,2025-10-26,167.92,None,1076,31226826
9075,2025-08-07,461.68,Extra towels,1028,1684053
9076,2025-08-31,139.4,High floor,1029,22041636
9077,2025-05-11,204.39,High floor,1040,34868325
9078,2025-02-07,359.89,None,1144,18086664
9079,2025-08-01,400.19,High floor,1052,27407257
9080,2025-10-26,99.91,None,1070,36040430
9081,2025-04-08,462.87,Late arrival,1046,36003858
9082,2025-06-21,157.82,Late arrival,1072,15939056
9083,2025-03-02,418.98,High floor,1023,9393885
9084,2025-08-20,143.3,None,1068,23612811
9085,2025-02-08,137.74,Late arrival,1007,36076338
9086,2025-04-14,308.59,High floor,1058,449660
9087,2025-07-26,206.68,Extra towels,1079,9999220
9088,2025-03-15,173.84,High floor,1008,2255340
9089,2025-10-14,221.18,Extra towels,1038,25773391
9090,2025-10-25,390.38,Extra towels,1031,21814906
9091,2025-01-09,446.82,Late arrival,1075,34866413
9092,2025-08-12,115.37,Extra towels,1147,187566
9093,2025-06-25,276.06,None,1061,525388
9094,2025-08-04,431.26,Late arrival,1064,28200288
9095,2025-01-10,311.22,None,1128,8881253
9096,2025-03-07,430.87,None,1084,11255694
9097,2025-03-19,447.28,High floor,1042,25047693
9098,2025-02-24,351.98,High floor,1068,33582776
9099,2025-02-11,259.68,High floor,1080,27334857
9100,2025-03-03,373.29,Late arrival,1114,35607907
9101,2025-10-20,317.47,None,1021,4096470
9102,2025-05-11,384.07,Extra towels,1104,10549650
9103,2025-01-01,313.17,Late arrival,1070,17358323
9104,2025-03-16,116.19,Extra towels,1100,19087480
9105,2025-04-19,373.66,High floor,1013,11512962
9106,2025-02-09,173.88,None,1121,32120380
9107,2025-04-04,278.59,Extra towels,1032,18540170
9108,2025-04-11,265.87,High floor,1020,7727798
9109,2025-10-12,111.16,None,1014,35534087
9110,2025-02-01,386.85,Extra towels,1101,4998221
9111,2025-01-11,175.69,Late arrival,1145,35971244
9112,2025-03-17,368.76,None,1110,36390301
9113,2025-10-17,121.27,High floor,1062,25345389
9114,2025-02-18,441.21,High floor,1083,33216902
9115,2025-08-22,280.92,High floor,1116,6691723
9116,2025-03-16,100.95,High floor,1118,33485823
9117,2025-03-19,352.77,Extra towels,1100,23377961
9118,2025-07-25,209.59,Extra towels,1054,13767238
9119,2025-04-16,423.86,None,1006,18087564
9120,2025-02-27,330.51,Extra towels,1013,8842667
9121,2025-07-13,453.68,High floor,1035,29956865
9122,2025-08-31,111.56,Late arrival,1005,34784681
9123,2025-03-13,399.59,Extra towels,1075,21695929
9124,2025-02-17,393.12,None,1047,34748562
9125,2025-03-09,184.5,Late arrival,1093,11503335
9126,2025-01-10,278.79,High floor,1113,5199814
9127,2025-02-18,86.82,None,1150,34122992
9128,2025-09-14,186.2,Extra towels,1078,20913
9129,2025-10-15,347.61,High floor,1094,2933772
9130,2025-05-28,295.41,Extra towels,1133,22435399
9131,2025-10-20,429.09,None,1135,19038815
9132,2025-07-09,222.75,None,1064,15133972
9133,2025-09-20,383.47,None,1128,16337047
9134,2025-01-13,133.09,Extra towels,1011,21015032
9135,2025-06-21,132.67,High floor,1030,16373331
9136,2025-03-23,180.58,Late arrival,1026,29517601
9137,2025-04-26,146.49,None,1011,33102485
9138,2025-02-26,240.54,High floor,1039,29907701
9139,2025-04-05,368.81,Extra towels,1006,12081327
9140,2025-02-24,273.86,Extra towels,1060,16363923
9141,2025-06-19,379.33,Extra towels,1004,9514772
9142,2025-08-10,334.46,Extra towels,1023,16479076
9143,2025-06-01,204.24,Extra towels,1063,31950886
9144,2025-06-02,397.73,None,1145,13123883
9145,2025-04-04,307.43,High floor,1033,9024661
9146,2025-10-23,94.39,None,1147,17848627
9147,2025-01-24,115.04,None,1139,10771369
9148,2025-03-06,127.94,Late arrival,1088,9026474
9149,2025-08-16,244.0,Late arrival,1089,4592475
9150,2025-09-11,342.71,Extra towels,1059,924600
9151,2025-02-22,158.17,Extra towels,1083,28135177
9152,2025-04-17,96.49,High floor,1017,13397762
9153,2025-10-10,298.16,High floor,1073,3688197
9154,2025-07-24,304.41,High floor,1117,14549011
9155,2025-09-05,466.27,High floor,1035,13978084
9156,2025-09-30,209.13,High floor,1006,36101190
9157,2025-07-03,85.41,Extra towels,1094,27576267
9158,2025-09-07,330.8,None,1074,11511466
9159,2025-01-07,386.02,Late arrival,1139,22977021
9160,2025-10-25,242.04,Extra towels,1075,19608383
9161,2025-06-23,442.48,Late arrival,1068,2657689
9162,2025-07-10,436.17,None,1117,29455559
9163,2025-02-25,125.81,None,1081,23773431
9164,2025-06-10,107.26,High floor,1027,10625484
9165,2025-04-04,324.09,None,1141,8798403
9166,2025-09-03,66.83,Extra towels,1083,35868549
9167,2025-10-13,324.12,None,1029,12000617
9168,2025-08-11,438.6,Late arrival,1039,28547290
9169,2025-10-03,346.4,None,1113,112100
9170,2025-10-28,101.89,None,1063,4757941
9171,2025-04-25,437.69,High floor,1128,31309714
9172,2025-08-24,264.03,High floor,1017,16336636
9173,2025-02-25,376.04,Extra towels,1048,22066551
9174,2025-08-17,443.09,Extra towels,1028,35486014
9175,2025-06-08,426.56,None,1131,21547791
9176,2025-01-12,411.16,Late arrival,1127,16175456
9177,2025-08-08,74.52,Late arrival,1065,21982618
9178,2025-10-02,181.95,High floor,1121,36449668
9179,2025-01-04,423.44,High floor,1127,35163045
9180,2025-09-24,260.26,High floor,1109,33005220
9181,2025-05-18,227.19,Late arrival,1037,21642874
9182,2025-03-12,264.08,None,1146,516461
9183,2025-08-26,123.37,None,1038,31113241
9184,2025-02-24,246.63,Extra towels,1128,4407787
9185,2025-08-28,137.03,Late arrival,1095,12568741
9186,2025-05-11,460.3,None,1149,35005592
9187,2025-05-06,199.59,Late arrival,1040,6090
9188,2025-07-19,239.28,Extra towels,1080,14294585
9189,2025-04-20,184.5,None,1024,30392623
9190,2025-08-03,402.56,High floor,1004,29780117
9191,2025-02-11,466.62,Late arrival,1062,12679172
9192,2025-09-18,220.86,High floor,1003,13078166
9193,2025-08-15,419.91,Extra towels,1003,8841646
9194,2025-03-29,465.24,Extra towels,1124,2217342
9195,2025-08-03,364.74,High floor,1069,25742944
9196,2025-05-12,337.26,None,1103,21734761
9197,2025-06-13,392.94,Late arrival,1012,8224368
9198,2025-03-27,183.33,Extra towels,1077,22400368
9199,2025-05-16,242.14,Extra towels,1044,2214323
9200,2025-08-06,312.15,None,1010,22455806
