rate_id,season_name,price_multiplier,listing_id
80151,Winter Off-Peak,1.48,35526
80152,Winter Off-Peak,0.9,36121
80153,Spring Break,1.08,36133
80154,Spring Break,1.24,36442
80155,Spring Break,1.3,36647
80156,Summer Peak,1.21,36703
80157,Summer Peak,0.97,36934
80158,Summer Peak,1.4,38638
80159,Winter Off-Peak,1.08,38663
80160,Winter Off-Peak,1.14,39267
80161,Winter Off-Peak,0.86,39282
80162,Winter Off-Peak,1.14,39593
80163,Winter Off-Peak,1.31,39704
80164,Winter Off-Peak,1.09,40039
80165,Winter Off-Peak,1.16,40453
80166,Winter Off-Peak,1.01,41348
80167,Spring Break,1.42,41513
80168,Summer Peak,1.49,42580
80169,Spring Break,0.85,42729
80170,Summer Peak,1.23,42882
80171,Spring Break,1.12,43957
80172,Summer Peak,1.24,44096
80173,Summer Peak,1.12,44161
80174,Winter Off-Peak,0.82,44212
80175,Summer Peak,1.42,44221
80176,Winter Off-Peak,1.31,44229
80177,Spring Break,1.49,44288
80178,Spring Break,1.29,44506
80179,Spring Break,0.81,45393
80180,Summer Peak,1.34,45542
80181,Winter Off-Peak,1.34,45556
80182,Spring Break,1.24,45910
80183,Winter Off-Peak,1.31,45936
80184,Spring Break,0.97,45940
80185,Spring Break,0.88,46544
80186,Winter Off-Peak,1.48,46723
80187,Summer Peak,1.09,46911
80188,Spring Break,1.18,47199
80189,Summer Peak,1.02,47362
80190,Winter Off-Peak,0.91,47370
80191,Summer Peak,0.93,47926
80192,Spring Break,1.21,48719
80193,Winter Off-Peak,0.85,50447
80194,Spring Break,0.83,51438
80195,Spring Break,1.22,51485
80196,Spring Break,0.93,51572
80197,Summer Peak,0.99,51850
80198,Summer Peak,0.94,53137
80199,Winter Off-Peak,0.9,53196
80200,Winter Off-Peak,1.1,53469
80201,Spring Break,0.98,53470
80202,Summer Peak,1.05,53477
80203,Summer Peak,0.96,54158
80204,Summer Peak,1.08,54453
80205,Winter Off-Peak,1.0,54466
80206,Winter Off-Peak,1.17,54508
80207,Spring Break,0.83,54544
80208,Winter Off-Peak,1.3,54626
80209,Winter Off-Peak,0.95,54860
80210,Winter Off-Peak,1.35,55467
80211,Spring Break,0.91,55498
80212,Winter Off-Peak,0.86,55668
80213,Summer Peak,1.37,55737
80214,Winter Off-Peak,1.21,55959
80215,Winter Off-Peak,0.87,55982
80216,Summer Peak,1.36,56467
80217,Summer Peak,0.86,56525
80218,Spring Break,1.24,56859
80219,Winter Off-Peak,1.3,57166
80220,Winter Off-Peak,0.89,57297
80221,Winter Off-Peak,1.22,57468
80222,Spring Break,1.28,57618
80223,Spring Break,1.26,57740
80224,Winter Off-Peak,1.16,57754
80225,Winter Off-Peak,1.36,57874
80226,Summer Peak,1.06,58059
80227,Summer Peak,1.39,58062
80228,Summer Peak,0.91,58467
80229,Spring Break,1.13,59014
80230,Winter Off-Peak,0.8,59121
80231,Spring Break,1.08,59642
80232,Summer Peak,0.85,59709
80233,Summer Peak,1.33,59855
80234,Summer Peak,1.38,60164
80235,Summer Peak,1.05,60457
80236,Winter Off-Peak,1.21,60611
80237,Spring Break,0.93,60666
80238,Winter Off-Peak,1.11,60673
80239,Winter Off-Peak,1.37,60680
80240,Spring Break,1.02,60794
80241,Spring Break,0.84,60948
80242,Winter Off-Peak,0.93,61167
80243,Winter Off-Peak,1.31,61224
80244,Spring Break,1.38,61406
80245,Spring Break,0.86,61492
80246,Winter Off-Peak,0.93,61509
80247,Spring Break,0.85,62095
80248,Winter Off-Peak,1.22,62427
80249,Spring Break,1.14,62430
80250,Winter Off-Peak,0.96,62452
80251,Winter Off-Peak,1.23,62461
80252,Spring Break,1.12,62787
80253,Winter Off-Peak,1.09,62891
80254,Summer Peak,1.38,62903
80255,Winter Off-Peak,1.17,62925
80256,Summer Peak,1.44,63299
80257,Winter Off-Peak,1.37,63320
80258,Winter Off-Peak,1.08,63360
80259,Summer Peak,1.36,63546
80260,Summer Peak,0.85,63573
80261,Winter Off-Peak,1.47,63588
80262,Spring Break,0.95,63610
80263,Summer Peak,1.48,63657
80264,Summer Peak,1.16,63693
80265,Spring Break,0.83,63719
80266,Spring Break,1.04,63913
80267,Winter Off-Peak,1.22,64000
80268,Spring Break,0.81,64015
80269,Spring Break,1.29,64107
80270,Spring Break,1.18,64277
80271,Summer Peak,0.93,64314
80272,Summer Peak,0.96,64365
80273,Spring Break,1.29,64707
80274,Spring Break,1.47,64837
80275,Spring Break,1.36,65019
80276,Spring Break,1.24,65268
80277,Winter Off-Peak,0.86,65556
80278,Winter Off-Peak,1.44,65562
80279,Spring Break,1.47,65615
80280,Spring Break,0.85,65660
80281,Winter Off-Peak,1.32,65813
80282,Winter Off-Peak,0.89,65834
80283,Summer Peak,0.86,66008
80284,Summer Peak,1.07,66026
80285,Summer Peak,1.42,66251
80286,Winter Off-Peak,1.07,66275
80287,Summer Peak,1.09,66451
80288,Spring Break,1.42,66718
80289,Winter Off-Peak,1.01,66741
80290,Winter Off-Peak,1.45,66974
80291,Spring Break,1.15,67288
80292,Summer Peak,0.87,67299
80293,Winter Off-Peak,1.44,67397
80294,Spring Break,1.32,68099
80295,Summer Peak,1.23,68305
80296,Spring Break,1.16,68403
80297,Winter Off-Peak,1.12,68735
80298,Summer Peak,1.03,68765
80299,Spring Break,1.45,68900
80300,Spring Break,1.45,68974
80301,Spring Break,0.94,69894
80302,Winter Off-Peak,1.1,69921
80303,Spring Break,0.96,70095
80304,Summer Peak,1.39,70128
80305,Winter Off-Peak,0.9,70609
80306,Spring Break,1.24,71010
80307,Winter Off-Peak,1.16,71248
80308,Spring Break,0.91,71366
80309,Summer Peak,1.17,71384
80310,Spring Break,1.06,71812
80311,Spring Break,0.92,72190
80312,Winter Off-Peak,1.5,72265
80313,Spring Break,0.92,74073
80314,Spring Break,0.88,74240
80315,Summer Peak,0.97,74333
80316,Spring Break,0.89,74404
80317,Spring Break,0.95,74680
80318,Winter Off-Peak,0.85,74860
80319,Spring Break,1.26,75193
80320,Winter Off-Peak,1.11,75635
80321,Winter Off-Peak,1.25,76761
80322,Winter Off-Peak,0.82,77765
80323,Winter Off-Peak,1.22,77936
80324,Summer Peak,0.81,78919
80325,Spring Break,1.45,79067
80326,Winter Off-Peak,1.28,79782
80327,Summer Peak,0.83,80493
80328,Winter Off-Peak,1.44,80684
80329,Winter Off-Peak,1.42,80700
80330,Summer Peak,0.94,80924
80331,Spring Break,1.1,81739
80332,Winter Off-Peak,0.82,82549
80333,Winter Off-Peak,1.12,82550
80334,Summer Peak,1.1,82638
80335,Spring Break,1.48,82928
80336,Summer Peak,1.14,83243
80337,Summer Peak,1.14,83446
80338,Winter Off-Peak,0.98,83722
80339,Winter Off-Peak,1.22,83847
80340,Spring Break,1.16,84010
80341,Spring Break,1.46,84059
80342,Summer Peak,1.21,84659
80343,Summer Peak,1.37,84905
80344,Winter Off-Peak,1.42,85094
80345,Spring Break,1.33,86215
80346,Spring Break,1.36,89427
80347,Spring Break,1.36,89621
80348,Winter Off-Peak,1.07,93313
80349,Summer Peak,1.1,94035
80350,Spring Break,1.17,94209
80351,Spring Break,1.21,94477
80352,Summer Peak,1.38,94783
80353,Winter Off-Peak,1.03,95747
80354,Spring Break,1.45,95883
80355,Spring Break,1.39,96471
80356,Spring Break,1.09,98330
80357,Spring Break,1.43,98663
80358,Summer Peak,1.37,99070
80359,Spring Break,1.47,99085
80360,Summer Peak,1.23,100002
80361,Winter Off-Peak,1.37,100184
80362,Spring Break,0.93,100186
80363,Summer Peak,1.22,101053
80364,Winter Off-Peak,1.15,102995
80365,Winter Off-Peak,0.81,103161
80366,Winter Off-Peak,1.03,103311
80367,Summer Peak,1.41,103806
80368,Spring Break,0.96,105469
80369,Spring Break,0.91,105510
80370,Winter Off-Peak,1.43,106363
80371,Winter Off-Peak,1.46,106647
80372,Winter Off-Peak,1.4,107630
80373,Summer Peak,1.33,107895
80374,Summer Peak,1.49,110739
80375,Spring Break,0.91,112100
80376,Summer Peak,1.46,112304
80377,Summer Peak,0.86,112359
80378,Winter Off-Peak,1.08,112435
80379,Summer Peak,1.44,113265
80380,Winter Off-Peak,1.12,113945
80381,Spring Break,1.32,114123
80382,Spring Break,1.3,114229
80383,Spring Break,1.29,114969
80384,Winter Off-Peak,1.0,115535
80385,Summer Peak,1.25,115678
80386,Winter Off-Peak,1.29,115748
80387,Summer Peak,1.04,116940
80388,Spring Break,1.02,117425
80389,Spring Break,1.08,118061
80390,Winter Off-Peak,0.88,118430
80391,Winter Off-Peak,0.86,118680
80392,Winter Off-Peak,1.02,120362
80393,Summer Peak,1.07,121687
80394,Summer Peak,1.29,121861
80395,Summer Peak,0.88,123784
80396,Winter Off-Peak,0.86,125053
80397,Winter Off-Peak,1.36,125163
80398,Spring Break,0.97,125594
80399,Spring Break,1.12,126443
80400,Winter Off-Peak,0.96,126816
80401,Winter Off-Peak,1.11,127387
80402,Spring Break,0.98,128975
80403,Winter Off-Peak,0.95,131154
80404,Summer Peak,0.86,132516
80405,Winter Off-Peak,0.92,132570
80406,Spring Break,1.0,132695
80407,Spring Break,0.97,133025
80408,Winter Off-Peak,1.27,134934
80409,Summer Peak,1.05,135393
80410,Summer Peak,0.84,135465
80411,Spring Break,0.89,135706
80412,Summer Peak,1.35,136493
80413,Winter Off-Peak,0.9,138216
80414,Summer Peak,0.93,139624
80415,Winter Off-Peak,1.49,140133
80416,Spring Break,1.47,140425
80417,Winter Off-Peak,1.11,140973
80418,Spring Break,1.47,141154
80419,Summer Peak,1.13,141335
80420,Spring Break,1.27,141890
80421,Summer Peak,1.45,141984
80422,Winter Off-Peak,1.44,142069
80423,Winter Off-Peak,1.09,144087
80424,Summer Peak,0.95,144148
80425,Winter Off-Peak,1.12,145064
80426,Spring Break,0.92,145188
80427,Spring Break,1.32,145994
80428,Summer Peak,1.19,146754
80429,Summer Peak,1.32,147586
80430,Winter Off-Peak,0.88,148201
80431,Summer Peak,1.43,148259
80432,Summer Peak,1.49,148825
80433,Winter Off-Peak,1.16,149287
80434,Winter Off-Peak,1.22,149777
80435,Spring Break,0.92,150804
80436,Winter Off-Peak,0.82,151199
80437,Winter Off-Peak,1.41,151478
80438,Winter Off-Peak,1.13,152071
80439,Summer Peak,1.47,152078
80440,Spring Break,0.89,152259
80441,Spring Break,1.08,152263
80442,Winter Off-Peak,1.48,152520
80443,Summer Peak,0.95,153405
80444,Spring Break,1.47,153780
80445,Winter Off-Peak,0.83,154934
80446,Summer Peak,0.83,155296
80447,Winter Off-Peak,1.45,157673
80448,Summer Peak,1.46,158061
80449,Summer Peak,0.81,158176
80450,Winter Off-Peak,0.91,158290
80451,Winter Off-Peak,1.03,158913
80452,Winter Off-Peak,1.32,158955
80453,Winter Off-Peak,1.26,159749
80454,Spring Break,1.28,159815
80455,Spring Break,1.36,159913
80456,Winter Off-Peak,1.32,160609
80457,Summer Peak,1.08,160994
80458,Winter Off-Peak,1.41,161366
80459,Spring Break,1.34,161394
80460,Spring Break,0.89,161996
80461,Winter Off-Peak,1.09,162493
80462,Winter Off-Peak,1.32,162508
80463,Spring Break,1.11,163627
80464,Summer Peak,0.95,163809
80465,Spring Break,0.92,163814
80466,Summer Peak,1.01,163836
80467,Spring Break,0.84,164989
80468,Winter Off-Peak,0.93,165080
80469,Summer Peak,1.01,165461
80470,Summer Peak,0.85,165824
80471,Summer Peak,0.97,166006
80472,Summer Peak,0.97,166172
80473,Spring Break,1.48,166541
80474,Summer Peak,1.31,166983
80475,Summer Peak,1.33,167013
80476,Spring Break,0.98,167017
80477,Winter Off-Peak,1.3,167222
80478,Winter Off-Peak,1.42,167482
80479,Winter Off-Peak,0.83,168084
80480,Winter Off-Peak,1.09,168123
80481,Spring Break,0.82,168546
80482,Winter Off-Peak,1.49,168810
80483,Spring Break,1.33,169002
80484,Winter Off-Peak,0.95,169152
80485,Summer Peak,1.06,169306
80486,Summer Peak,1.0,169464
80487,Spring Break,1.02,169483
80488,Summer Peak,0.89,170420
80489,Spring Break,0.95,170761
80490,Winter Off-Peak,1.06,171776
80491,Winter Off-Peak,0.95,172700
80492,Summer Peak,0.82,172870
80493,Winter Off-Peak,1.06,173072
80494,Spring Break,1.15,173151
80495,Summer Peak,0.86,173742
80496,Summer Peak,1.25,174527
80497,Summer Peak,1.3,174966
80498,Summer Peak,1.42,176135
80499,Spring Break,1.19,176653
80500,Winter Off-Peak,1.47,176962
80501,Spring Break,0.98,177421
80502,Summer Peak,1.42,177495
80503,Winter Off-Peak,1.04,177606
80504,Summer Peak,0.87,179670
80505,Winter Off-Peak,1.25,179741
80506,Spring Break,1.5,180507
80507,Winter Off-Peak,1.28,180792
80508,Spring Break,0.94,181972
80509,Summer Peak,1.17,182069
80510,Winter Off-Peak,0.87,182095
80511,Spring Break,1.31,182177
80512,Spring Break,0.9,182649
80513,Summer Peak,1.38,185266
80514,Spring Break,0.94,187488
80515,Winter Off-Peak,1.0,187566
80516,Summer Peak,1.46,187986
80517,Winter Off-Peak,1.19,188146
80518,Spring Break,1.39,188661
80519,Summer Peak,1.24,188674
80520,Spring Break,1.37,189135
80521,Spring Break,1.42,189181
80522,Spring Break,0.83,189732
80523,Winter Off-Peak,1.43,189787
80524,Spring Break,1.19,190267
80525,Winter Off-Peak,1.23,190542
80526,Summer Peak,1.21,190968
80527,Spring Break,0.86,190974
80528,Winter Off-Peak,1.12,191075
80529,Winter Off-Peak,1.12,193105
80530,Winter Off-Peak,1.41,193333
80531,Winter Off-Peak,0.86,193393
80532,Summer Peak,1.18,193853
80533,Spring Break,1.3,194154
80534,Winter Off-Peak,1.09,195123
80535,Spring Break,1.48,195233
80536,Summer Peak,1.14,195240
80537,Spring Break,1.07,195578
80538,Spring Break,0.86,195971
80539,Summer Peak,1.4,195989
80540,Winter Off-Peak,1.4,196010
80541,Summer Peak,1.17,197155
80542,Summer Peak,0.87,197753
80543,Winter Off-Peak,0.96,197942
80544,Spring Break,1.15,199195
80545,Spring Break,1.38,199312
80546,Winter Off-Peak,1.49,200645
80547,Spring Break,1.03,200955
80548,Spring Break,1.0,201992
80549,Spring Break,0.81,202273
80550,Spring Break,1.11,203901
80551,Summer Peak,1.39,204065
80552,Summer Peak,1.34,204833
80553,Winter Off-Peak,0.85,204959
80554,Winter Off-Peak,1.38,205043
80555,Winter Off-Peak,1.14,205485
80556,Winter Off-Peak,1.04,205735
80557,Spring Break,1.44,205867
80558,Winter Off-Peak,1.21,206071
80559,Winter Off-Peak,0.92,206316
80560,Winter Off-Peak,0.87,206772
80561,Spring Break,0.98,206957
80562,Summer Peak,0.89,208148
80563,Spring Break,1.21,208889
80564,Spring Break,1.31,209310
80565,Summer Peak,1.35,211078
80566,Winter Off-Peak,1.1,211974
80567,Summer Peak,1.22,212109
80568,Spring Break,0.81,212178
80569,Winter Off-Peak,0.82,212544
80570,Winter Off-Peak,1.02,213272
80571,Winter Off-Peak,1.5,213330
80572,Summer Peak,1.03,214917
80573,Summer Peak,1.43,215560
80574,Summer Peak,1.25,215784
80575,Spring Break,1.41,215907
80576,Summer Peak,1.03,217580
80577,Summer Peak,1.49,218358
80578,Spring Break,1.11,219066
80579,Winter Off-Peak,0.96,219482
80580,Spring Break,1.43,219793
80581,Spring Break,0.88,219818
80582,Summer Peak,1.16,219922
80583,Spring Break,1.3,220351
80584,Spring Break,1.47,220563
80585,Spring Break,0.88,220946
80586,Summer Peak,1.2,221043
80587,Spring Break,0.89,221097
80588,Spring Break,0.82,221618
80589,Winter Off-Peak,1.08,222054
80590,Winter Off-Peak,1.39,222304
80591,Winter Off-Peak,0.95,223930
80592,Winter Off-Peak,1.37,224004
80593,Spring Break,0.88,224006
80594,Summer Peak,1.5,224510
80595,Summer Peak,1.25,225297
80596,Winter Off-Peak,1.1,225306
80597,Winter Off-Peak,1.12,225887
80598,Winter Off-Peak,1.46,225926
80599,Spring Break,1.34,225976
80600,Winter Off-Peak,0.98,226021
80601,Summer Peak,0.95,227715
80602,Spring Break,1.34,227735
80603,Summer Peak,1.42,228317
80604,Winter Off-Peak,1.26,228496
80605,Summer Peak,1.44,228517
80606,Summer Peak,1.16,228925
80607,Winter Off-Peak,1.14,228979
80608,Spring Break,0.95,229367
80609,Spring Break,1.07,229874
80610,Spring Break,1.23,230321
80611,Spring Break,1.38,230854
80612,Spring Break,1.0,230877
80613,Summer Peak,1.39,230956
80614,Summer Peak,1.5,231414
80615,Summer Peak,1.03,232612
80616,Spring Break,1.38,232618
80617,Spring Break,1.3,233189
80618,Summer Peak,1.11,233638
80619,Winter Off-Peak,1.4,233662
80620,Spring Break,1.39,234184
80621,Summer Peak,0.93,234870
80622,Winter Off-Peak,1.13,235552
80623,Summer Peak,1.44,235651
80624,Summer Peak,1.3,235951
80625,Spring Break,1.1,235960
80626,Spring Break,1.09,236671
80627,Summer Peak,0.92,236788
80628,Spring Break,1.1,236806
80629,Summer Peak,0.9,237127
80630,Winter Off-Peak,1.05,237210
80631,Summer Peak,1.04,239055
80632,Spring Break,1.02,239733
80633,Spring Break,1.46,239766
80634,Spring Break,1.31,239826
80635,Summer Peak,0.84,239883
80636,Winter Off-Peak,1.17,239899
80637,Spring Break,1.38,240800
80638,Spring Break,1.07,241140
80639,Winter Off-Peak,1.23,241159
80640,Spring Break,1.29,241862
80641,Winter Off-Peak,1.19,242532
80642,Summer Peak,1.31,242643
80643,Spring Break,1.25,243229
80644,Summer Peak,1.0,243708
80645,Winter Off-Peak,0.85,245504
80646,Winter Off-Peak,1.1,245544
80647,Spring Break,0.95,245574
80648,Spring Break,1.06,245607
80649,Summer Peak,0.93,246134
80650,Summer Peak,0.88,246351
80651,Spring Break,1.29,246916
80652,Winter Off-Peak,1.45,246938
80653,Winter Off-Peak,0.8,248865
80654,Winter Off-Peak,1.1,248871
80655,Spring Break,1.39,249414
80656,Spring Break,0.88,249618
80657,Summer Peak,1.09,249867
80658,Spring Break,1.06,250259
80659,Winter Off-Peak,1.14,250311
80660,Spring Break,0.84,250323
80661,Summer Peak,0.84,250536
80662,Winter Off-Peak,1.15,250537
80663,Winter Off-Peak,1.11,250801
80664,Spring Break,1.26,251262
80665,Summer Peak,1.05,251277
80666,Summer Peak,1.19,252076
80667,Summer Peak,0.99,252607
80668,Spring Break,1.23,253332
80669,Summer Peak,1.44,253466
80670,Summer Peak,1.17,253471
80671,Spring Break,1.2,253475
80672,Spring Break,1.22,253548
80673,Summer Peak,0.93,253590
80674,Summer Peak,0.96,253623
80675,Summer Peak,1.31,253800
80676,Summer Peak,0.91,253803
80677,Winter Off-Peak,0.97,253806
80678,Summer Peak,1.31,253811
80679,Spring Break,1.13,253815
80680,Summer Peak,1.11,253828
80681,Summer Peak,1.09,253839
80682,Spring Break,0.93,253842
80683,Spring Break,1.03,253846
80684,Summer Peak,1.12,254131
80685,Summer Peak,0.86,254168
80686,Spring Break,1.46,254409
80687,Summer Peak,0.91,255024
80688,Winter Off-Peak,1.22,255476
80689,Spring Break,1.18,255601
80690,Spring Break,1.12,255957
80691,Spring Break,1.14,256078
80692,Spring Break,1.14,256328
80693,Summer Peak,1.4,256369
80694,Spring Break,1.02,257097
80695,Winter Off-Peak,1.24,257568
80696,Winter Off-Peak,1.2,257787
80697,Winter Off-Peak,1.3,258284
80698,Spring Break,1.45,258397
80699,Summer Peak,1.44,258686
80700,Summer Peak,1.03,258688
80701,Spring Break,1.26,258690
80702,Summer Peak,1.03,258740
80703,Winter Off-Peak,0.99,258838
80704,Winter Off-Peak,1.1,258876
80705,Spring Break,1.13,259946
80706,Spring Break,1.31,260451
80707,Summer Peak,1.07,260765
80708,Winter Off-Peak,0.89,261194
80709,Winter Off-Peak,1.07,261259
80710,Spring Break,0.82,261344
80711,Winter Off-Peak,0.96,261674
80712,Winter Off-Peak,1.07,261781
80713,Winter Off-Peak,1.3,262343
80714,Winter Off-Peak,1.28,262405
80715,Spring Break,1.1,262478
80716,Winter Off-Peak,1.24,262583
80717,Summer Peak,1.28,263005
80718,Summer Peak,0.85,263190
80719,Summer Peak,1.35,263232
80720,Spring Break,1.07,263502
80721,Spring Break,1.33,263776
80722,Winter Off-Peak,1.47,263888
80723,Winter Off-Peak,1.1,264323
80724,Spring Break,1.06,265036
80725,Summer Peak,1.38,265064
80726,Spring Break,0.86,265145
80727,Winter Off-Peak,1.34,265506
80728,Summer Peak,1.29,265831
80729,Winter Off-Peak,0.82,265912
80730,Winter Off-Peak,1.37,266146
80731,Summer Peak,1.14,266155
80732,Spring Break,0.89,266351
80733,Summer Peak,1.31,266437
80734,Winter Off-Peak,1.13,266449
80735,Summer Peak,0.8,266756
80736,Spring Break,1.22,267376
80737,Winter Off-Peak,0.86,267435
80738,Winter Off-Peak,1.3,267535
80739,Winter Off-Peak,1.24,267652
80740,Summer Peak,0.96,267708
80741,Spring Break,0.95,268392
80742,Summer Peak,1.12,268481
80743,Winter Off-Peak,1.23,268868
80744,Winter Off-Peak,1.4,269283
80745,Summer Peak,0.95,269889
80746,Summer Peak,1.08,270139
80747,Winter Off-Peak,1.15,270231
80748,Winter Off-Peak,1.36,270315
80749,Summer Peak,1.11,270345
80750,Spring Break,1.43,270680
80751,Winter Off-Peak,1.26,270681
80752,Summer Peak,0.86,271083
80753,Winter Off-Peak,0.96,271128
80754,Winter Off-Peak,1.3,271130
80755,Summer Peak,0.84,271694
80756,Spring Break,1.35,271950
80757,Spring Break,1.32,271954
80758,Spring Break,1.25,272026
80759,Winter Off-Peak,0.92,272044
80760,Summer Peak,0.86,272427
80761,Spring Break,1.46,272706
80762,Winter Off-Peak,1.17,272738
80763,Winter Off-Peak,1.45,273190
80764,Winter Off-Peak,0.86,273256
80765,Winter Off-Peak,0.91,274062
80766,Spring Break,1.41,274329
80767,Summer Peak,1.4,274376
80768,Spring Break,1.3,274743
80769,Winter Off-Peak,1.34,275976
80770,Winter Off-Peak,0.96,276216
80771,Winter Off-Peak,1.47,276317
80772,Spring Break,1.39,276482
80773,Winter Off-Peak,0.82,277207
80774,Winter Off-Peak,0.92,277370
80775,Winter Off-Peak,0.82,277883
80776,Spring Break,1.09,278090
80777,Spring Break,1.06,278145
80778,Summer Peak,0.93,278631
80779,Winter Off-Peak,0.86,278876
80780,Winter Off-Peak,1.25,279093
80781,Winter Off-Peak,1.17,279857
80782,Summer Peak,1.3,279969
80783,Winter Off-Peak,1.41,280315
80784,Summer Peak,0.88,281521
80785,Spring Break,1.09,281756
80786,Winter Off-Peak,1.09,281851
80787,Summer Peak,1.06,282341
