listing_id,property_name,room_type,latitude,longitude,host_id
13050,bright and stylish duplex,Entire home/apt,40.68554,-73.9409,50846
13394,Fort Greene brownstone ,Private room,40.69142,-73.97376,52335
13808,Blue Room for 2 in Brownstone for $1350 monthly,Private room,40.68043,-73.93934,54275
14287,Cozy 1BD on Central Park West in New York City,Entire home/apt,40.78635,-73.97008,56094
14290,* ORIGINAL BROOKLYN LOFT *,Entire home/apt,40.7042,-73.9356,56104
14314,Greenpoint Place...Has It All! ,Entire home/apt,40.73506,-73.95392,56246
14322,Beautiful Apartment in Manhattan!!!,Entire home/apt,40.73961,-73.98074,56284
14377,Williamsburg 1 bedroom Apartment,Entire home/apt,40.70881,-73.9593,56512
14991,"Great Location, Manhattan Bedroom!",Private room,40.72004,-73.99104,59023
15220,Best Location in NYC! TIMES SQUARE!,Private room,40.75531,-73.99293,59734
15338,Room in Greenpoint Loft w/ Roof,Private room,40.72401,-73.93788,32169
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,Entire home/apt,40.7221,-73.99775,60049
15385,"Very, very cozy place",Private room,40.71185,-73.96204,60252
15396,Sunny & Spacious Chelsea Apartment,Entire home/apt,40.74623,-73.9953,60278
15711,2 bedroom - Upper East Side-great for kids,Entire home/apt,40.77065,-73.95269,61491
16326,Comfortable 4-bedroom apt in family house.,Entire home/apt,40.67811,-73.96428,63588
16338,Double Room w Private Deck Clinton Hill Best Area,Private room,40.69,-73.96788,63613
16421,Your Heaven in Hells Kitchen,Private room,40.75979,-73.99119,63924
16458,Light-filled 2B duplex in the heart of Park Slope!,Entire home/apt,40.67343,-73.98338,64056
16580,"Sunny, Modern room in East Village!",Private room,40.72649,-73.97904,64442
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Entire home/apt,40.70933,-73.96792,64522
16821,Large Room in Amazing East Village Apt,Private room,40.72298,-73.98474,4396
16974,SpaHa Loft: Enormous and Bright,Entire home/apt,40.80164,-73.93922,65837
17037,Lovely EV Artist's Home,Entire home/apt,40.72162,-73.98008,66035
17092,Cool Room in Hell's Kitchen,Private room,40.76342,-73.98865,66243
17693,"HARLEM, NEW YORK WELCOMES YOU!!",Private room,40.83139,-73.94095,68428
17747,BLUE TRIM GUEST HOUSE,Private room,40.68346,-73.96374,68599
18127,Charming East Village One Bedroom Flat,Entire home/apt,40.72828,-73.98801,69829
18152,Manhattan Room,Private room,40.76865,-73.95058,69942
18198,Little King of Queens,Private room,40.75038,-73.90334,70091
18590,Fort Greene Retreat on the Park,Private room,40.6932,-73.97267,71512
18728,Beautiful Meatpacking District Loft,Private room,40.74138,-74.00197,71876
18764,Cozy 2 BR in Williamsburg ,Private room,40.71154,-73.96112,72014
19159,Spacious luminous apt Upper West NYC,Entire home/apt,40.82915,-73.95136,73051
19169,Entire 2 Bedroom - Large & Sunny,Entire home/apt,40.71851,-73.98892,73128
19282,"Sunny, Spacious Top Floor Haven",Entire home/apt,40.65401,-73.96323,73469
19319,Private room Great Deal at Lower East Side,Private room,40.7114,-73.98794,44263
19601,perfect for a family or small group,Entire home/apt,40.69723,-73.99268,74303
19812,2 bedroom Williamsburg Apt - Bedford L stop,Entire home/apt,40.71833,-73.95748,74857
20299,Oh glorious spring!,Private room,40.72334,-73.9844,62407
20300,Great Location for NYC,Private room,40.72912,-73.98057,76627
20611,Cozy Bedroom in Williamsburg 3 BR,Private room,40.71156,-73.96218,72014
20724,Sunny room+Pvte office in huge loft,Private room,40.70032,-73.9383,961342
20734,Spacious Prospect Heights Apartment,Entire home/apt,40.68233,-73.97261,78460
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",Private room,40.68634,-73.966,51038
20853,2-bed brownstone duplex + garden,Entire home/apt,40.68035,-73.97162,79070
20913,Charming 1 bed GR8 WBurg LOCATION!,Entire home/apt,40.70984,-73.95775,79402
21293,Sunny Apartment in Artist Home,Entire home/apt,40.70093,-73.92609,44145
21456,Light-filled classic Central Park ,Entire home/apt,40.79764,-73.96177,42032
21644,"Upper Manhattan, New York",Private room,40.82803,-73.94731,82685
21794,COZY QUIET room 4 DOOGLERS!,Private room,40.74008,-74.00271,83257
22911,The Stuydio Modern and Light Filled,Entire home/apt,40.68413,-73.92357,87773
22918,loft bed - near transportation-15min to times sq,Private room,40.82279,-73.95139,32294
23135,House On Henry (3rd FLR Suite),Entire home/apt,40.67967,-74.00154,11481
23501,Monkey Retreat Manhattan,Private room,40.83927,-73.94281,63318
23686,2000 SF 3br 2bath West Village private  townhouse,Entire home/apt,40.73096,-74.00319,93790
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",Private room,40.71332,-73.94177,97219
24285,Beautiful Duplex Apartment,Entire home/apt,40.66941,-73.98109,97797
25235,Large 2 Bedroom Great for Groups!,Entire home/apt,40.68373,-73.92377,87773
25406,"Modern Brooklyn Apt., August sublet",Entire home/apt,40.71459,-73.94844,105538
25696,"1,800 sq foot in luxury building",Private room,40.8092,-73.94421,107628
26012,Sunny 2-story Brooklyn townhouse w deck and garden,Entire home/apt,40.68157,-73.98989,109589
26362,"Times Square, Safe, Clean and Cozy!",Private room,40.75527,-73.99291,59734
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",Private room,40.68698,-73.96572,51038
26559,Beautiful Apartment East Village,Entire home/apt,40.7288,-73.98192,112793
26785,Park Slope Green Guest House,Entire home/apt,40.66853,-73.98912,42273
26933,2 BR / 2 Bath Duplex Apt with patio! East Village,Entire home/apt,40.7254,-73.98157,72062
26954,NYC fabulous views Manhattan's eye,Entire home/apt,40.74294,-73.98009,115157
26969,2 story family home in Williamsburg,Entire home/apt,40.71942,-73.95748,115307
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,Entire home/apt,40.77823,-73.97637,115560
27385,Great Large 1 BR apt  in East Village!,Entire home/apt,40.72555,-73.97965,72062
27531,Eveland Private Bed & Living Room w/ Own Entrance,Private room,40.66831,-73.98604,118971
27644,Sugar Hill Rest Stop ,Entire home/apt,40.82754,-73.94919,119510
27659,3 Story Town House in Park Slope,Entire home/apt,40.66499,-73.97925,119588
27759,apartment next to Central park,Entire home/apt,40.77842,-73.97556,119900
27883,East Village Sanctuary,Entire home/apt,40.72245,-73.98527,120223
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Private room,40.65593,-73.96053,65091
28396,Modern Apt with Spectacular Views,Private room,40.71923,-73.96468,6197784
28907,Garden studio in the Upper East Sid,Entire home/apt,40.778,-73.94822,124352
29012,Secluded Master Bedroom in Beautiful Huge Apt,Private room,40.85879,-73.93128,124797
29013,B & B Room 1,Private room,40.68332,-73.9547,35935
29455,ACCOMMODATIONS GALORE #1,Entire home/apt,40.81618,-73.94894,126607
29628,Sunny Room in New Condo,Private room,40.68414,-73.96351,127608
29683,Stylish & Sleek Apartment Near SoHo!,Entire home/apt,40.72392,-73.99143,125857
30031,NYC artists’ loft with roof deck,Private room,40.73494,-73.9503,129352
30927,Unique & Charming small 1br Apt. LES,Entire home/apt,40.71341,-73.98856,120335
31130,Most Central Location!,Private room,40.76754,-73.98399,117287
31555,Luminous Beautiful West Village Studio,Entire home/apt,40.73442,-74.00303,135619
31902,Sanctuary in East Flatbush,Private room,40.63188,-73.93248,137292
31994,Room with En Suite Bathroom & Deck,Private room,40.6873,-73.9634,137814
32023,FLAT MACDONOUGH,Entire home/apt,40.68296,-73.93662,137974
32037,Huge Private  Floor at The Waverly,Private room,40.6863,-73.96765,116599
32100,"Modern Greenpoint, Brooklyn Apt",Entire home/apt,40.73409,-73.95348,138579
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",Entire home/apt,40.71561,-73.94835,139612
32331,"Sunny, Cobble Hill Apartment",Entire home/apt,40.6857,-73.99183,139874
32363,Fully Furnished Basement Apartment,Private room,40.74028,-73.83168,140025
32965,FLAT MACDONOUGH GARDEN,Entire home/apt,40.68281,-73.93524,137974
32969,Light filled Williamsburg Apartment,Entire home/apt,40.71596,-73.93938,142833
33009,Retreat in Williamsburg,Entire home/apt,40.71492,-73.95935,143027
33014,NYC Zen,Entire home/apt,40.72354,-73.98295,143048
33223,Cozy BR in Wiliamsburg 3 Bedroom,Private room,40.71165,-73.96087,72014
34760,Sunny Room in Old Historical Brooklyn Townhouse,Private room,40.69101,-73.97312,149929
35526,Sun Filled Classic West Village Apt,Private room,40.73474,-74.00101,120291
36121,Lg Rm in Historic Prospect Heights,Private room,40.67386,-73.96641,62165
36133,Classic Artist Loft Williamsburg,Private room,40.71536,-73.96057,142684
36442,Great location. Spacious on PROSPECT PARK,Entire home/apt,40.6741,-73.96595,137432
36647,Private Bdrm/Bathrm. New! Elevator!,Private room,40.79295,-73.93997,157798
36703,"Sunny, clean 1 bdrm in W. Village",Entire home/apt,40.73226,-74.00401,158284
36934,Great location in Williamsburg,Entire home/apt,40.71363,-73.96398,159370
38638,Light and Airy Upper East Side 1 BDR apartment,Entire home/apt,40.77711,-73.9527,92788
38663,Luxury Brownstone in Boerum Hill,Entire home/apt,40.68559,-73.98094,165789
39267,CENTRAL PARK LOFT all for YOU,Entire home/apt,40.77456,-73.95323,168417
39282,Indie-Chic Share In Williamsburg,Private room,40.71088,-73.95055,168525
39593,"A room w/ a Manhattan view, longer stay",Private room,40.74559,-73.92313,110506
39704,"Private, Large & Sunny 1BR w/W&D",Entire home/apt,40.68306,-73.94659,170510
40039,Luxurious Condo in DUBMO with View,Private room,40.70207,-73.98571,171851
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,Entire home/apt,40.76123,-73.9642,174025
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,Entire home/apt,40.66858,-73.99083,180083
41513,Convenient cozy cheap apt Manhattan,Entire home/apt,40.82704,-73.94907,181167
42580,Parlor Room In Victorian Townhouse,Private room,40.68843,-73.96408,137814
42729,House On Henry (2nd FLR Suite),Entire home/apt,40.6783,-74.00135,11481
42882,New York room with a view,Private room,40.64524,-74.08088,185978
43957,Sunny cozy room in Brklyn townhouse,Private room,40.70641,-73.91765,177536
44096,Room with a View,Private room,40.83232,-73.93184,190409
44161,Light+Open+Airy+Rustic+Modern Loft,Entire home/apt,40.71045,-73.9677,193360
44212,West Inn 2 - East Village,Private room,40.72518,-73.98034,72062
44221,Financial District Luxury Loft,Entire home/apt,40.70666,-74.01374,193722
44229,BROOKLYN VICTORIAN STYLE SUITE.....,Private room,40.69098,-73.97113,181376
44288,Your own Lovely West Village Studio,Entire home/apt,40.73756,-74.00405,193637
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Entire home/apt,40.81526,-73.94791,126607
45393,Greenwich Village Stylish Apartment,Entire home/apt,40.73423,-74.0046,201297
45542,Clean and Cozy Harlem Apartment,Entire home/apt,40.82374,-73.9373,202249
45556,"Fort Greene, Brooklyn: Center Bedroom",Private room,40.68863,-73.97691,67778
45910,Beautiful Queens Brownstone! - 5BR,Entire home/apt,40.70382,-73.89797,204539
45936,Couldn't Be Closer To Columbia Uni,Private room,40.80549,-73.95924,867225
45940,Bright Spacious Luxury Condo,Entire home/apt,40.71627,-73.9587,204724
46544,Park Slope haven 15 mins from Soho,Entire home/apt,40.67994,-73.97863,8198
46723,SAFE  AND BEAUTIFUL ACCOMODATION,Private room,40.67992,-73.9475,209460
46911,Large Room in private Brownstone in Park Slope,Private room,40.67868,-73.97307,210746
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Private room,40.76834,-73.95334,212722
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!",Entire home/apt,40.68237,-73.9415,214148
47370,Chelsea Studio sublet 1 - 2 months,Entire home/apt,40.74031,-73.99999,214287
47926,LUX APT IN TIMES SQUARE NEW BUILDING,Entire home/apt,40.76307,-73.99665,218404
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,Entire home/apt,40.71882,-73.98852,221873
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,Entire home/apt,40.6693,-73.98804,9744
51438,1 Bedroom in 2 Bdrm Apt- Upper East,Private room,40.77333,-73.95199,236421
51485,Lower East Side $57~/night,Private room,40.72319,-73.99201,236655
51572,Prime Location in Manhattan,Private room,40.74859,-73.99671,237329
51850,( F) Excellent/Pvt Rm,Private room,40.67252,-73.76597,27848
53137,"Quiet, sunny Midtown Manhattan apt.",Entire home/apt,40.76244,-73.99271,240360
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,Private room,40.69546,-73.93503,247432
53469,cozy studio with parking spot,Entire home/apt,40.71722,-73.87856,204539
53470,Clean and convenient 2BR apartment,Private room,40.70234,-73.89816,204539
53477,3 floors of luxury!,Entire home/apt,40.71546,-73.87854,204539
54158,The Institute—Heart of Williamsburg,Entire home/apt,40.7195,-73.95976,10889
54453,MIDTOWN WEST - Large alcove studio,Shared room,40.76548,-73.98474,255583
54466,Beautiful Uptown Manhattan apartmnt,Private room,40.80234,-73.95603,253385
54508,Sml Rm in pr Brst  Park Sl great for Med/students,Private room,40.6787,-73.97262,210746
54544,City Room - Private Penthouse Apt.,Entire home/apt,40.81035,-73.94598,256161
54626,Cozy bedroom by Yankee Stadium,Private room,40.83075,-73.93058,190409
54860,Great apartment with private bathroom and entrance,Private room,40.79958,-73.94275,258164
55467,Private Garden Apt • New Renovation,Entire home/apt,40.71625,-73.93845,260709
55498,Modern comfort in art infused landmark Brownstone,Private room,40.6829,-73.93549,262138
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",Private room,40.72773,-73.99134,88209
55737,Sleek & Comfortable Soho Apt,Entire home/apt,40.72861,-74.0049,263414
55959,Spacious Williamsburg Share w/ LOFT BED,Private room,40.70979,-73.95162,168525
55982,Cozy 2 br in sunny Fort Greene apt,Private room,40.68656,-73.97525,264928
56467,Cozy East Village Railroad 1 Bed!,Entire home/apt,40.72752,-73.98432,267593
56525,1 Bedroom Loft w/ Private Roof Deck,Entire home/apt,40.729,-73.95829,268014
56859,City Room - Private & Comfy Bedroom,Private room,40.81219,-73.94499,256161
57166,Elegant NYC Pad,Entire home/apt,40.77185,-73.90502,272006
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",Entire home/apt,40.68926,-73.99386,199392
57468,"Modern, Large East Village Loft",Entire home/apt,40.72821,-73.98701,239208
57618,"Great new apt, close to everything",Entire home/apt,40.7672,-73.98508,274557
57740,Quiet & Clean Retreat in the City,Entire home/apt,40.73012,-73.99053,275459
57754,Stylish Large Gramercy Loft!,Entire home/apt,40.7403,-73.98498,275578
57874,The Brownstone-Luxury 1 Bd Apt/NYC,Entire home/apt,40.80931,-73.94343,276291
58059,PRIVATE Room on Historic Sugar Hill,Private room,40.8251,-73.94287,277379
58062,South Slope Green,Private room,40.6585,-73.98397,277394
58467,"17 Flr. Manhattan Views, Nr. Subway",Private room,40.76193,-73.9501,279797
59014,"Spacious 1BR, Adorable Clean Quiet",Entire home/apt,40.72052,-73.98589,282927
59121,"Nice, clean, safe, convenient 3BR",Entire home/apt,40.70411,-73.89934,204539
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,Entire home/apt,40.73401,-73.95967,274782
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",Entire home/apt,40.71756,-73.99503,186084
59855,One bedroom Apt. in NYC,Entire home/apt,40.7589,-73.96991,288031
60164,"Beautiful, elegant 3 bed SOHO loft",Entire home/apt,40.72003,-74.00262,289653
60457,Spacious Greenwich Village Apt,Entire home/apt,40.73194,-73.99474,99212
60611,SpaHa Studio Monthly Rental,Entire home/apt,40.79163,-73.94573,292204
60666,City Room - Private Luxury Suite,Private room,40.8118,-73.94434,256161
60673,Private Room/bath Luxurious Harlem,Private room,40.81583,-73.94707,249372
60680,The gem of the East Village,Entire home/apt,40.72654,-73.98049,292630
60794,"Bright and spacious, garden below!",Entire home/apt,40.80021,-73.96071,293394
60948,ACCOMMODATIONS GALORE #2,Entire home/apt,40.80942,-73.93936,126607
61167,Colorful Private One Bedroom Apt,Entire home/apt,40.71961,-73.9954,295760
61224,Huge Chelsea Loft,Entire home/apt,40.74358,-74.00027,291112
61406,Great room in great location,Private room,40.80335,-73.9575,297176
61492,Exclusive Room with Private Bath in  LES,Private room,40.71445,-73.9908,297769
61509,"Quiet, clean midtown apt w. elevato",Entire home/apt,40.75749,-73.96897,23619
62095,BK Sweet Suite w/Kitchen&FullBath,Entire home/apt,40.64446,-73.9503,281764
62427,Great East Village Apartment Rental,Entire home/apt,40.7268,-73.99079,303882
62430,BROWNSTONE SUNDRENCHED BEAUTY,Entire home/apt,40.688,-73.9171,197755
62452,A SpeciaL!! Private Room in NY,Private room,40.63536,-74.08537,303939
62461,B NYC Staten Alternative...,Private room,40.63627,-74.08543,303939
62787,C Private Room By The Ferry,Private room,40.63518,-74.08546,303939
62891,Smallest House In The Village,Entire home/apt,40.72477,-73.98161,306545
62903,Beautiful modern studio apartment in heart of NYC,Entire home/apt,40.74238,-73.99567,306605
62925,Beautiful Landmarked Duplex,Entire home/apt,40.72945,-73.95511,306739
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Private room,40.70763,-73.95177,308875
63320,D Private Che@p Room 2 Explore NYC,Private room,40.63481,-74.08519,303939
63360,Safe cute near subway& Manhattan NY NY retro style,Entire home/apt,40.75384,-73.91433,307962
63546,Large and Cozy Private Bedroom,Private room,40.64106,-73.97426,308652
63573,Small tidy bedroom in duplex,Private room,40.66793,-73.98327,310458
63588,LL3,Private room,40.81309,-73.85514,295128
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Entire home/apt,40.88057,-73.83572,310670
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",Entire home/apt,40.68236,-73.94314,170510
63693,Cottage in the Village,Entire home/apt,40.72185,-73.98246,306545
63719,BEDROOM1 FOR RENT 10min from Manhan,Private room,40.68503,-73.95385,311286
63913,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",Private room,40.86648,-73.9263,312288
64000,Williamsburg near soho. / loftbed,Private room,40.7069,-73.95467,312722
64015,Prime East Village 1 Bedroom,Entire home/apt,40.72807,-73.98594,146944
64107,BROOKLYN  STUDIO APARTMENT,Private room,40.6778,-73.94339,313317
64277,BEDROOM2 FOR RENT  10min from Manh,Private room,40.68317,-73.94701,311286
64314,cozy bedroom in lovely garden apt,Private room,40.6761,-73.9529,314256
64365,Crown Heights Garden Apt.,Private room,40.67586,-73.95155,314582
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,Entire home/apt,40.71702,-73.99811,7310
64837,ENJOY Downtown NYC!!,Private room,40.72321,-73.98157,46978
65019,Charming UWS Treehouse Apt,Entire home/apt,40.77956,-73.98098,317809
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Private room,40.68276,-73.95264,319092
65556,"Room in S3rd/Bedford, Williamsburg",Private room,40.71368,-73.9626,320422
65562,CHARMING EAST VILLAGE 2 (or 1) BR,Entire home/apt,40.72956,-73.98158,320450
65615,Farmhouse Apartment in Williamsburg,Entire home/apt,40.71069,-73.95175,320761
65660,Bright+Spacious Williamsburg Abode!,Entire home/apt,40.70863,-73.94641,320538
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",Private room,40.82888,-73.94307,321756
65834,Beautiful 1 Bedroom Apt Park Slope,Entire home/apt,40.67319,-73.97323,321934
66008,CHARMING CARROLL GARDENS APT.,Entire home/apt,40.67846,-73.99443,322884
66026,Private Bedroom Brownstone Brooklyn,Private room,40.6715,-73.94808,322716
66251,East Village Loft with Piano & Patio,Entire home/apt,40.72681,-73.98534,324460
66275,Lower East Side Magic Room,Private room,40.71904,-73.99392,314941
66451,**Fantastic Williamsburg Apt**,Entire home/apt,40.71031,-73.9583,325389
66718,West Harlem Home Base - Eco-Apt.,Entire home/apt,40.81322,-73.95306,136227
66741,Charming Garden Apt in Park Slope,Entire home/apt,40.67732,-73.98225,327673
66974,"Lovely, Modern, Garden Apartment",Entire home/apt,40.68076,-73.9896,329436
67288,Central Park 1BR sunny condo,Entire home/apt,40.79603,-73.94903,101597
67299,Cozy Garden Apartment  in Williamsburg,Entire home/apt,40.71492,-73.96282,330347
67397,SoHa comfort-by NW Central Park!,Private room,40.80393,-73.95838,332189
68099,Cozy room in Upper West Side,Private room,40.80082,-73.9652,323517
68305,Cozy Private Room in Apartment,Private room,40.82976,-73.94867,338454
68403,The Cozy Brownstone Inn (discount)!,Entire home/apt,40.683,-73.91981,240427
68735,Prewar Penthouse w Private Terrace,Entire home/apt,40.78971,-73.9729,342054
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,Entire home/apt,40.67817,-73.99495,282655
68900,Bright Beautiful Brooklyn,Private room,40.73119,-73.95578,343250
68974,Unique spacious loft on the Bowery,Entire home/apt,40.71943,-73.99627,281229
69894,"Nice renovated apt, prime location!",Entire home/apt,40.78,-73.98249,352168
69921,Brooklyn Writer's Nook,Private room,40.70514,-73.91922,155689
70095,Private Bedroom in Large NYC Apartment,Private room,40.86713,-73.92811,353965
70128,"Large, Sunny Room East Village NYC",Private room,40.73198,-73.98881,354330
70609,Great Large 3 BR/2 Bath Duplex with Private Patio!,Entire home/apt,40.72542,-73.97986,72062
71010,All That Jazz. Uptown style on Sugar Hill.,Entire home/apt,40.83494,-73.93869,361855
71248,Bright and lovely 1 bdrm apt in LES,Entire home/apt,40.71659,-73.98945,363834
71366,Beautiful One Bed West Village - 4 Month Special,Entire home/apt,40.72966,-74.00243,364955
71384,Gigantic Private Brooklyn Loft!,Entire home/apt,40.72898,-73.95552,365153
71812,Condo Apartment with laundry in unit,Entire home/apt,40.87207,-73.90193,369015
72190,1BR: See Central Park from Terrace!,Entire home/apt,40.77728,-73.97818,373085
72265,Private room in cozy Greenpoint,Private room,40.72646,-73.95341,340692
74073,Food & Music Dream Apartment in Williamsburg,Entire home/apt,40.71015,-73.96101,211877
74240,French Garden cottage off Bedford,Entire home/apt,40.71903,-73.9597,389924
74333,Alcove Studio w/ outdoor Patio Deck,Entire home/apt,40.80892,-73.93985,331328
74404,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,Entire home/apt,40.80276,-73.9567,391325
74680,One Bedroom Mini studio - Free WIFI,Entire home/apt,40.77635,-73.93426,265109
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",Private room,40.72488,-73.95018,394752
75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg,Private room,40.71398,-73.95763,308875
75635,Bright Cozy Chinatown Studio Apt.,Entire home/apt,40.71876,-73.98394,401696
76761,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,Entire home/apt,40.66552,-73.99019,118971
77765,Superior @ Box House,Private room,40.73749,-73.95292,417504
77936,Hells Kitchen Garden of Eden,Private room,40.76248,-73.9913,134355
78919,"Historic House Boerum Hill, BK, NYC",Entire home/apt,40.68674,-73.98876,422561
79067,Lovely 3 bedroom in Italianate Brownstone w/garden,Entire home/apt,40.6848,-73.96219,425506
79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",Private room,40.70516,-73.95455,430188
80493,Cozy room in East Village with AC,Private room,40.72329,-73.98486,434987
80684,Duplex w/ Terrace @ Box House Hotel,Private room,40.73776,-73.95327,417504
80700,Loft w/ Terrace @ Box House Hotel,Private room,40.73738,-73.95482,417504
80924,Spacious 3 Bedroom Duplex in Park Slope,Entire home/apt,40.67542,-73.98142,438133
81739,Loft w/ Terrace @ Box House Hotel,Private room,40.73842,-73.95312,417504
82549,Columbia Castle in Brooklyn Heights,Private room,40.6926,-73.99832,448312
82550,Columbia Castle 2 BR,Entire home/apt,40.69441,-73.99771,448312
82638,"Charming Artist's Flat, East Village",Entire home/apt,40.72399,-73.98374,449787
82928,BEAUTIFUL 2 BEDROOM APARTMENT,Entire home/apt,40.6824,-73.94615,451545
83243,Brooklyn Cove Studio Apt w/ Garden!!,Entire home/apt,40.68949,-73.91708,453519
